1|Ahold|3562|Ahold USA, Inc.||
2|Careone|1154|Ahold USA, Inc.||
3|Roland|688|American Roland Food Corp.|New York, NY 10010|www.rolandfood.com
4|Nature's Promise|487|Ahold USA, Inc.||
5|Mccormick|463|McCormick & Co., Inc.|Hunt Valley, MD 21031-1100|www.mccormickgourmet.com
6|Smart Living|454|Ahold USA, Inc.||
7|Sally Hansen|423|Coty Inc.||
8|Goody|421|Goody Products, Inc.|3 Glenlake Pkwy, Atlanta, GA 30328|www.goody.com
9|Companion|421|Ahold USA, Inc.||
10|Twinlab|377|Ideasphere Inc.|American Fork, Utah 84003 U.S.A|
11|Nature's Way|366|Nature's Way Products Inc.||
12|Betty Crocker|358|General Mills, Inc.||
13|Kraft|340|Kraft Foods, Inc.|Northfield, IL 60093-2753 USA|creamcheese.com
14|Gerber|316|Gerber Products Co.|Fremont, MI 49413, USA|www.gerber.com
15|Nature's Answer|309|Nature's Answer|Hauppauge, NY 11788-3943|www.naturesanswer.com
16|Goya|307|Goya Foods, Inc.|Bayamon, P.R. 00961|
17|Aura Cacia|299|Frontier Natural Products CO-OP|Norway, IA|www.auracacia.com
18|Sports Tissues|294|||
19|Manischewitz|288|Manischewitz||
20|Liebers|276|||
21|Kiss My Face|262|Kiss My Face Corp.||
22|Badia|260|Badia Spices Inc.|P.O. Box 226497 Doral, FL 33222-6497|www.badiaspices.com
23|Usda Meat|258|USDA Meat||
24|Herb Pharm|236|Herb Pharm LLC|Williams, OR 97544|www.herb-pharm.com
25|Guaranteed Value|234|Ahold USA, Inc.||
26|Gefen|234|Kenover Marketing Corp.||
27|Pepperidge Farm|228|Pepperidge Farm, Inc.|Norwalk, CT 06856|goldfishfun.com
28|Ge|225|GE Lighting|Nela Park Cleveland, OH 44112|www.gelighting.com
29|Natrol|224|Natrol Inc|Chatsworth, CA 91311 USA|www.natrol.com
30|Streits|212|||
31|Del Monte|205|Del Monte Foods|San Francisco, CA 94111|www.delmonte.com
32|Lindt|196|Lindt & Sprungli|Stratham, NH 03885-0276|www.lindtusa.com
33|Huggies|196|Kimberly-Clark Global Sales, LLC.|P.O. Box 2020, Neenah, WI  54957-2020|
34|Campbell's|195|Campbell Soup Company|Camden, NJ, U.S.A. 08103-1701|www.campbellsoup.com
35|Nature Made|195|Pharmavite LLC||
36|Simply Enjoy|194|Ahold USA, Inc.||
37|Glade|191|S.C. Johnson And Son|Racine, Wi 53403-2236 U.S.A.|
38|Alba Botanica|189|The Hain Celestial Group, Inc.|Melville, NY 11747|www.albabotanica.com
39|Hyland's|188|Hyland's|Los Angeles, CA 90061|www.hylands.com
40|Colgate|186|Colgate-Palmolive Company||
41|La Preferida|184|La Preferida, Inc.||
42|L'oreal Paris|182|L'Oreal USA|New York, NY 10017|www.lorealparis.com
43|Farberware|181|Hoan Products Ltd.||
44|Boar's Head|181|Brunckhorst Co.||
45|Rainbow Light|180|Rainbow Light Nutritional Sys.||
46|Usda Produce|178|USDA Produce||
47|Hershey's|178|The Hershey Company||
48|Beech-nut|176|Beech-Nut Nutrition Corporation|Amsterdam, NY 12010 USA|www.beechnut.com
49|Hartz|175|The Hartz Mountain Corporation||
50|Burt's Bees|173|Burt's Bees, Inc.|Durham, NC 27709|www.burtsbees.com
51|Reese|173|World Finer Foods, Inc.||
52|Ghirardelli|170|Ghirardelli Chocolate Company|San Leandro, CA 94578 U.S.A|www.ghirardelli.com
53|Dove|169|Unilever Home And Personal Care USA|Trumbull, CT 06611|www.dove.com
54|Osem|165|Osem Usa, Inc.|P.O.B. 934 Shoham 60850, Israel|
55|Pillsbury|164|General Mills, Inc.||
56|Mrs. Meyer's|163|The Caldrea Company|Minneapolis, MN|
57|Delallo|161|George Delallo Co., Inc.||
58|Scotch|160|3M|3M Center, St. Paul, MN 55144-1000|www.scotchbrand.com
59|Paskesz|159|Paskesz Candy Company||
60|Celestial Seasonings|159|The Hain Celestial Group, Inc.|4600 Sleepytime Drive Boulder, CO 80301-3292 USA|www.celestialseasonings.com
61|Utz|158|UTZ Quality Foods, Inc.||
62|Cottontails|157|Ahold USA, Inc.||
63|Jelly Belly|157|Jelly Belly Candy Company|One Jelly Belly Lane, Fairfield, CA 94533 U.S.A.|jellybelly.com
64|Dole|157|Dole Fresh Vegetables||
65|Quaker|156|The Quaker Oats Company||
66|Jason|156|The Hain Celestial Group, Inc.|Melville, NY 11747|www.jason-natural.com
67|Suave|155|Unilever Home And Personal Care USA||
